State_FIPS,County_FIPS,CountName,SNAP2010,SNAP2000
17,117,"Macoupin County, IL",6309,2635
17,119,"Madison County, IL",37031,17261
17,121,"Marion County, IL",8620,4736
17,123,"Marshall County, IL",1412,582
17,125,"Mason County, IL",2371,1199
17,127,"Massac County, IL",3389,1579
17,129,"Menard County, IL",1068,672
17,131,"Mercer County, IL",1428,791
17,133,"Monroe County, IL",766,371
17,135,"Montgomery County, IL",4146,2496
17,137,"Morgan County, IL",5097,2395
17,139,"Moultrie County, IL",1284,458
17,141,"Ogle County, IL",7143,1449
17,143,"Peoria County, IL",32508,17396
17,145,"Perry County, IL",3579,1603
17,147,"Piatt County, IL",842,431
17,149,"Pike County, IL",2234,1174
17,151,"Pope County, IL",938,327
17,153,"Pulaski County, IL",1735,1451
17,155,"Putnam County, IL",412,205
17,157,"Randolph County, IL",4148,1865
17,159,"Richland County, IL",2583,1400
17,161,"Rock Island County, IL",20154,9717
17,163,"St. Clair County, IL",48767,31375
17,165,"Saline County, IL",6018,3419
